,lang,family,dialects,iso6393,glottocode,speakers,regions,off_lang,rec_min_lang,Wikipedia_Url
93,Alsea,"['Coast Oregon Penutian', '?\n', 'Alsea']","['Alsea', 'Yaquina']",aes,alse1251,Data not available,Oregon,Data not available,Data not available,https://en.wikipedia.org/wiki/Alsea_language
94,Akeu,"['Sino-Tibetan', 'Tibeto-Burman', 'Lolo–Burmese', 'Loloish', 'Southern Loloish', 'Akeu']",Data not available,aeu,akeu1235title  Akeu,"(12,000 cited 1996–2006)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Akeu_language
95,Aion,"['Ramu–Keram', 'Keram', 'East Keram', '[2]', 'Aion']",Data not available,aew,amba1269,770 (2003)[1],East Sepik Province,Data not available,Data not available,https://en.wikipedia.org/wiki/Ambakich_language
96,Amele,"['Trans–New Guinea', 'Madang', 'Croisilles', ' ', 'linkage', 'Mabuso', '?', 'Gum', 'Amele']",Data not available,aey,amel1241,"(5,300 cited 1987)[1]",Madang Province,Data not available,Data not available,https://en.wikipedia.org/wiki/Amele_language
97,Gulf Arabic,"['Afro-Asiatic', 'Semitic', 'West Semitic', 'Central Semitic', 'Arabic', 'Peninsular', 'Gulf Arabic']","['Bahraini', 'Emirati', 'Kuwaiti']",afb,gulf1241,11 million (2018–2021)[1],Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Gulf_Arabic
98,Andai,"['Madang', ' – Upper Yuat\n', 'Upper Yuat', 'Arafundi', 'Andai']",Data not available,afd,anda1283title  Andaititlemeak1234title  Meakambut,440 (2017)[1],East Sepik Province,Data not available,Data not available,https://en.wikipedia.org/wiki/Andai_language
99,Putukwam,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Southern Bantoid', '?', 'Bendi', 'Putukwam']","['Afrike', 'Obe']",afe,putu1241,"70,000 (2012)[1]","Obudu LGA, Cross River State",Data not available,Data not available,https://en.wikipedia.org/wiki/Putukwam_language
100,Afghan Sign Language,['Language isolate'],Data not available,afg,afgh1239,"190,000 (2021)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Afghan_Sign_Language
101,Akrukay,"['Ramu', '\nRamu proper', 'Tamolan–Ataitan', 'Tamolan', 'Akrukay']",Data not available,afi,akru1241,75 (2013)[1],Madang Province,Data not available,Data not available,https://en.wikipedia.org/wiki/Akrukay_language
102,Nanubae,"['Madang', ' – Upper Yuat\n', 'Upper Yuat', 'Arafundi', 'Nanubae']",Data not available,afk,nanu1240,"1,300 (2005)[1]",East Sepik Province,Data not available,Data not available,https://en.wikipedia.org/wiki/Nanubae_language
103,Defaka,"['Niger–Congo', '?\n', 'Ijoid', '?', 'Defaka']",Data not available,afn,defa1248,200 (2001)[1],"Rivers State, Opobo–Nkoro",Data not available,Data not available,https://en.wikipedia.org/wiki/Defaka_language
104,Eloyi,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Plateau', 'Eloyi']",Data not available,afo,eloy1241,"100,000 (2021)[1]","Benue State, Nassarawa State",Data not available,Data not available,https://en.wikipedia.org/wiki/Eloyi_language
105,Tapei,"['Madang', ' – Upper Yuat\n', 'Upper Yuat', 'Arafundi', 'Tapei']",Data not available,afp,tape1242,250 (2017)[1],East Sepik Province,Data not available,Data not available,https://en.wikipedia.org/wiki/Tapei_language
106,Afrikaans,"['Indo-European', 'Germanic', 'West Germanic', 'Weser–Rhine Germanic', 'Low Franconian', 'Dutch', 'Central Dutch', 'Hollandic', 'Afrikaans']",Data not available,afr,afri1274,7.2 million (2016)10.3 million L2 speakers in South Africa (2011)[1],Data not available, South Africa, Namibia,https://en.wikipedia.org/wiki/Afrikaans
107,Afro-Seminole Creole,"['English Creole', '\nAtlantic', 'Eastern', 'Northern', 'Gullah', 'Afro-Seminole Creole']",Data not available,afs,afro1254,(200 in Mexico cited 1990)[1],Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Afro-Seminole_Creole
108,Afitti,"['Nilo-Saharan', '?\n', 'Eastern Sudanic', '[2]', 'Northern Eastern', 'Nyima', 'Afitti']",Data not available,aft,afit1238,"4,000 (2009)[1]",North Kordofan,Data not available,Data not available,https://en.wikipedia.org/wiki/Afitti_language
109,Awutu,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Kwa', 'Potou–Tano', 'Tano', 'Guang', 'South Guang', 'Awutu']",Data not available,afu,awut1241,"180,000 (2003)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Efutu_language
110,Obokuitai,"['Lakes Plain', '\nCentral', 'Obokuitai–Eritai', 'Obokuitai']",Data not available,afz,obok1239,120 (2000)[1],"Obogwi village in East Central Mambermano District, Mamberamo Raya Regency, Papua",Data not available,Data not available,https://en.wikipedia.org/wiki/Obokuitai_language
111,Aguano,['unclassified'],Data not available,aga,agua1251,Data not available,Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Aguano_language
112,Gbo,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Cross River', 'Upper Cross', 'Central', 'East–West', 'Mbembe–Legbo', 'Gbo']",Data not available,agb,legb1242,"(60,000 cited 1989)[1]","Cross River State, Ebonyi State",Data not available,Data not available,https://en.wikipedia.org/wiki/Gbo_language
113,Agatu,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Volta–Niger', 'noi', 'Idomoid', 'Etulo–Idoma', 'Idoma', 'Agatu']",Data not available,agc,agat1236,"(70,000 cited 1987)[1]","Benue State, Nassarawa State",Data not available,Data not available,https://en.wikipedia.org/wiki/Agatu_language
114,Agarabi,"['Trans–New Guinea', 'Kainantu–Goroka', 'Kainantu', 'Gauwa', 'Agarabi']",Data not available,agd,agar1252,"27,000 (2000 census)[1]",Eastern Highlands Province,Data not available,Data not available,https://en.wikipedia.org/wiki/Agarabi_language
115,Arguni,"['Austronesian', 'Malayo-Polynesian', 'Central–Eastern Malayo-Polynesian', 'Kei–Tanimbar', 'Bedoanas–Erokwanas', 'Arguni']",Data not available,agf,argu1237,150 (2000)[1],"Arguni Island, north coast Bomberai Peninsula",Data not available,Data not available,https://en.wikipedia.org/wiki/Arguni_language
116,Angor,"['Senagi', 'Angor']",Data not available,agg,ango1254,"1,500 (2004)[1]","Papua New Guinea: Sandaun Province, Amanab Rural LLG, 11 villages",Data not available,Data not available,https://en.wikipedia.org/wiki/Angor_language
117,Ngelima,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Bantoid', 'Bantu', ' (', 'Zone C.40', ')', 'Boan', 'Bomokandian', 'Bwa', 'Ngelima']","['Beo', 'Buru (Boro)', 'Tungu', 'Hanga']",agh,ngel1238,"14,000 (2000)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Ngelima_language
118,Agariya,"['Indo-European', '\nIndo-Iranian', 'Indo Aryan', 'Eastern', 'Odia', 'Agariya']",Data not available,agi,agar1251,"72,000 (2007)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Agariya_language
119,Argobba,"['Afro-Asiatic', 'Semitic', 'West Semitic', 'South Semitic', 'Ethiopic', 'South', 'Transversal', 'Amharic–Argobba', 'Argobba']",Data not available,agj,argo1244,"44,000 (2007 census)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Argobba_language
120,Inagta Partido,"['Austronesian', 'Malayo-Polynesian', 'Philippine', 'Central Philippine', 'Bikol languages', 'Coastal Bikol', 'Inagta Partido']",Data not available,agk,isar1235,"~12 (2018) or 1,000 (1984)<refname=e18/>",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Inagta_Partido_language
121,Fembe,"['Trans–New Guinea', 'East Strickland', 'Upper East Strickland', 'Fembe']",Data not available,agl,femb1238,(350 cited 1986)[1],Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Fembe_language
122,Angaatiha,"['Trans–New Guinea', 'Angan', 'Angaatiha']",Data not available,agm,anga1290,"2,500 (2015)[1]",Morobe Province,Data not available,Data not available,https://en.wikipedia.org/wiki/Angaataha_language
123,Agutaynen,"['Austronesian', 'Malayo-Polynesian', 'Philippine', 'Kalamian', 'Agutaynen']",Data not available,agn,agut1237,"19,608[1] (2010)[2]",Mimaropa,Data not available,Data not available,https://en.wikipedia.org/wiki/Agutaynen_language
124,Tainae,"['Trans–New Guinea', 'Angan', 'Southwest', 'Akoye–Tainae', 'Tainae']",Data not available,ago,tain1253,"(1,000 cited 1991)[1]",Gulf Province,Data not available,Data not available,https://en.wikipedia.org/wiki/Tainae_language
125,Aghem,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Southern Bantoid', 'Grassfields', 'Ring', 'West', 'Aghem']",Data not available,agq,aghe1239,"27,000 (2000)[1]",Menchum,Data not available,Data not available,https://en.wikipedia.org/wiki/Aghem_language
126,Aguaruna,"['Chicham', 'Aguaruna']","['Marañón Aguaruna', 'Nieva Aguaruna']",agr,agua1253,"53,400 (2007)[1]","Northern Peru, upper Marañón River",Data not available,Data not available,https://en.wikipedia.org/wiki/Aguaruna_language
127,Esimbi,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Volta-Congo', 'Benue–Congo', 'Bantoid', 'Southern Bantoid', 'Tivoid', 'Esimbi']",Data not available,ags,esim1238,"34,800 (2005)[1]",Southwestern Cameroon,Data not available,Data not available,https://en.wikipedia.org/wiki/Esimbi_language
128,Central Cagayan Agta,"['Austronesian', 'Malayo-Polynesian', 'Philippine', 'Northern Luzon', 'Cagayan Valley', 'Gaddangic', 'Central Cagayan Agta']",Data not available,agt,cent2084,780 (2000)[1],Luzon,Data not available,Data not available,https://en.wikipedia.org/wiki/Central_Cagayan_Agta_language
129,Awakatek,"['Mayan', '\nQuichean–Mamean', 'Greater Mamean', 'Ixilan', 'Awakatek']",Data not available,agu,agua1252,"10,100 in Guatemala (2019 census)[1]20 in Mexico (2020 census)[2]",Huehuetenango,Data not available," Guatemala
 Mexico",https://en.wikipedia.org/wiki/Awakatek_language
130,Remontado Dumagat,"['Austronesian', 'Malayo-Polynesian', 'Philippine', 'Central Luzon', 'Remontado Dumagat']",Data not available,agv,remo1247,"2,500 (2000)[2]","Tanay, Montalban, and Antipolo in Rizal, and General Nakar, Quezon",Data not available,Data not available,https://en.wikipedia.org/wiki/Remontado_Agta_language
131,Kahua,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Southeast Solomonic', 'Malaita – San Cristobal', 'San Cristobal', 'Kahua']",Data not available,agw,kahu1241,"(5,200 cited 1999)[1]",Solomon Islands,Data not available,Data not available,https://en.wikipedia.org/wiki/Kahua_language
132,Aghul,"['Northeast Caucasian', 'Lezgic', 'Samur', 'Eastern Samur', 'Lezgi', '–Aghul–', 'Tabasaran', 'Aghul']",Data not available,agx,aghu1260title  Aghulictitleaghu1253,"29,300 (2010 census)[1]",Southeastern Dagestan, Russia Dagestan,Data not available,https://en.wikipedia.org/wiki/Aghul_language
133,Southern Alta,"['Austronesian', 'Malayo-Polynesian', 'Philippine', 'Northern Luzon', 'Meso-Cordilleran', 'Alta', 'Southern Alta']",Data not available,agy,sout2905,"(1,000 cited 1982)[1]",Luzon,Data not available,Data not available,https://en.wikipedia.org/wiki/Southern_Alta_language
134,Inagta Rinconada,"['Austronesian', 'Malayo-Polynesian', 'Philippine', 'Central Philippine', 'Bikol languages', 'Inland Bikol', 'Inagta Rinconada']",Data not available,agz,mtir1235,"(1,500 cited 1979)[1]",Luzon,Data not available,Data not available,https://en.wikipedia.org/wiki/Mount_Iriga_Agta_language
135,Fanti,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Kwa', 'Potou–Tano', 'Tano', 'Central Tano (Akan)', 'Bia', 'South', 'Fanti']",Data not available,aha,ahan1243,"180,000 (2013)[1]",Ghana,Data not available,Data not available,https://en.wikipedia.org/wiki/Ahanta_language
136,Ahamb,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Southern Oceanic', 'North-Central Vanuatu', 'Central Vanuatu', 'Malakula', 'Malakula Coastal', 'Ahamb']",Data not available,ahb,axam1237,950 (2017)[1],South Malekula,Data not available,Data not available,https://en.wikipedia.org/wiki/Axamb_language
137,Qimant,"['Afro-Asiatic', 'Cushitic', 'Agaw', 'Northern', 'Qimant']","['Qwara', 'Kayla']",ahg,qima1242,"(1,700 cited 1994 census)[1]",Amhara Region,Data not available,Data not available,https://en.wikipedia.org/wiki/Qimant_language
138,Aghu,"['Trans–New Guinea', 'Greater Awyu', 'Awyu–Dumut', 'Awyu', 'Aghu']","['Aghu', 'Nohon']",Either:titleahhtitle – Aghutitleawutitle – Central Awyu,mapp1234,"(<14,000 cited 1987–2002)[1]","South Papua, Indonesia",Data not available,Data not available,https://en.wikipedia.org/wiki/Aghu_language
139,Tiagba,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Kru', 'Tiagba']",Data not available,ahi,tiag1235,"(9,000 cited 1999)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Tiagba_language
140,Akha,"['Sino-Tibetan', 'Tibeto-Burman', 'Lolo–Burmese', 'Loloish', 'Southern', 'Hanoid', 'Akha']","['Akha (Thailand Akha)', 'Hani Akha (Chinese Akha) Xishuangbanna Hani (Vietnamese Akha)', 'Lao Sung (Laotian Akha)', 'Kaw (Burmese Akha)']",ahk,akha1245,"620,000 (2007–2015)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Akha_language
141,Ahlon,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Kwa', 'Ka-Togo', 'Kposo–Ahlo', 'Ahlon']",Data not available,ahl,igoo1238,"7,600 (2012)[1]",Sassanou,Data not available,Data not available,https://en.wikipedia.org/wiki/Ahlon_language
142,Mobu,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Kru', 'Aizi', 'Mobu']",Data not available,ahm,mobu1235,"(2,000 cited 1999)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Mobu_language
143,Aahan,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Volta–Niger', 'Ayere–Ahan', 'Aahan']",Data not available,ahn,ahan1244,300 (2000)[1],Ondo State,Data not available,Data not available,https://en.wikipedia.org/wiki/Ahan_language
144,Ahom,"['Kra–Dai', 'Tai', 'Southwestern', ' (Thai)', 'Northwestern', 'Ahom']",Data not available,aho,ahom1240,Data not available,Assam,Data not available,Data not available,https://en.wikipedia.org/wiki/Ahom_language
145,Apro,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Kwa', 'Apro']",Data not available,ahp,apro1235,"(6,500 cited 1999)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Apro_language
146,Koro Wachi,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Plateau', 'Central', '\xa0?', 'Koroic', 'Koro Wachi']",Data not available,Either:titleahstitle – Ashetitlebqvtitle – Begbere-Ejar,ashe1269title  Ashetitlebegb1241title  Begbere-Ejar,"150,000 (2006–2012)[1]",Kaduna State,Data not available,Data not available,https://en.wikipedia.org/wiki/Koro_Wachi_language
147,Ahtna,"['Dené–Yeniseian', '?\n', 'Na-Dené', 'Athabaskan', 'Northern Athabaskan', 'Ahtna']",Data not available,aht,ahte1237,15 (2020)[1]30 (2011)[2],Alaska (Copper River region), Alaska[3],Data not available,https://en.wikipedia.org/wiki/Ahtna_language
148,Arosi,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Southeast Solomonic', 'Arosi']",Data not available,aia,aros1241,"(6,750 cited 1999)[1]","Makira, Solomon Islands",Data not available,Data not available,https://en.wikipedia.org/wiki/Arosi_language
149,Äynu,"['Turkic', 'Common Turkic', 'Karluk', '[2]', 'Äynu']",Data not available,aib,ainu1251,"12,000 (2017)[1]",Xinjiang,Data not available,Data not available,https://en.wikipedia.org/wiki/%C3%84ynu_language
150,Ainbai,"['Border', '\nBewani Range', 'Poal River', 'Ainbai']",Data not available,aic,ainb1238,100 (2003)[1],Sandaun Province,Data not available,Data not available,https://en.wikipedia.org/wiki/Ainbai_language
151,Alngith,"['Pama–Nyungan', 'Paman', 'North Cape York', 'Northern', 'Anguthimri', 'Alngith']",Data not available,aid,alng1239,Data not available,"Cape York Peninsula, Queensland",Data not available,Data not available,https://en.wikipedia.org/wiki/Alngith_dialect
152,Amara,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Western Oceanic', 'North New Guinea', 'Ngero–Vitiaz', 'Vitiaz', 'Amara']",Data not available,aie,amar1272,230 (2011)[1],parts of West New Britain Province,Data not available,Data not available,https://en.wikipedia.org/wiki/Amara_language
153,Agi,"['Torricelli', 'Palei', 'Agi']",Data not available,aif,agii1245,960 (2003)[1],Sandaun Province,Data not available,Data not available,https://en.wikipedia.org/wiki/Agi_language
154,Antiguan and Barbudan,"['English Creole', '\nAtlantic', 'Eastern', 'Southern', 'Northern Antilles', 'Antiguan and Barbudan']","['Saint Kitts Creole', 'Montserrat Creole', 'Anguillan Creole', 'Kokoy Creole']",aig,anti1245,"150,000 (2001–2011)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Leeward_Caribbean_Creole_English
155,Ai-Cham,"['Kra–Dai', 'Kam–Sui', 'Ai-Cham']",Data not available,aih,aich1238,"2,700 (2000)[1]","Qiannan Prefecture, Guizhou Province",Data not available,Data not available,https://en.wikipedia.org/wiki/Ai-Cham_language
156,Suret,"['Afro-Asiatic', 'Semitic', 'Central Semitic', 'Northwest Semitic', 'Aramaic', 'Eastern', 'Northeastern', 'Suret']","['Christian Urmi Neo-Aramaic', ', including Urban Koine; ', 'Nōčiyay', '; Hakkari groups (', 'Barwari', ', ', 'Jilu', ', ', 'Tyari', '); Southern (', 'Arbela', ', ', 'Nineveh', '); others']",syrtitle – inclusive codetitleIndividual codes:titleaiititle – Assyrian Neo-Aramaictitlecldtitle – Chaldean Neo-Aramaic,assy1241title  Assyrian Neo-Aramaictitlechal1275title  Chaldean Neo-Aramaic,"800,000 (2020)[2]","Assyrian heartland (northwestern Iran, northern Iraq, northern Syria, southern Turkey), Lebanon, Armenia,[1] global diaspora",Data not available, Iraq (Recognized language and a constitutional right to educate in the mother tongue)[3][4],https://en.wikipedia.org/wiki/Suret_language
