,lang,family,dialects,iso3code,speakers,regions,off_lang,rec_min_lang
165,Ukrainian_language,"['Indo-European', 'Balto-Slavic', 'Slavic', 'East Slavic', 'Ukrainian']","['Balachka', 'Canadian', 'Pokuttia-Bukovina', 'Hutsul', 'Among others, see: ', 'Ukrainian dialects']",ukr,27 million (2016)[1]L2: 5.8 million (2016),Eastern Europe,Ukraine,BelarusRussian FederationBosnia and Herzegovina[2]Croatia[2]Czech Republic[3]Hungary[4]Moldova[5]Poland[2]Romania[2]Serbia[2]Slovakia[2]
166,Swedish_language,"['Indo-European', 'Germanic', 'North Germanic', 'East Scandinavian', 'Swedish']",,swe,Native: 10 million (2012–2021)[1]L2 speakers: 3 million[1],,FinlandSwedenÅlandEuropean UnionNordic Council,
167,Kingdom_of_Spain,,,,,,,
168,Kunama_language,"['Nilo-Saharan', '?\n', 'Kunama', 'Kunama']","['Barka (Berka)', 'Marda', 'Aymasa', 'Tika (Lakatakura-Tika)', 'Sokodasa', 'Takazze-Setit', 'Tigray']",kun,"180,000 (2022)[1]","western Eritrea, northern Ethiopia",, Eritrea
169,Romani_people,,,,,,,
170,Republic_of_Zambia,,,,,,,
171,Glagolitic_alphabet,,,,,,,
172,Colombia,,,,,,,
173,Magahi,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Eastern Zone (Magadhan)', 'Bihari', 'Magahi']","['Southern Magahi', 'Northern Magahi', 'Central Magahi', 'Khortha', 'Kurmali or Panchpargania']",mag,12.6 million (2011 census)[4][5](additional speakers counted under Hindi),"Magadh (southern Bihar, northern Jharkhand, and northwestern West Bengal),[1][2][3]Terai region of Eastern Nepal",," India
Jharkhand[a][6]
"
174,Ubykh_language,"['Northwest Caucasian', 'Ubykh']",,uby,,Sochi,,
175,Darjeeling_district,,,,,,,
176,Icelandic_language,"['Indo-European', 'Germanic', 'North Germanic', 'West Scandinavian', 'Insular Scandinavian', 'Icelandic']",,isl,"(undated figure of 330,000)[1]",, Iceland   Nordic Council,
177,Achang_language,"['Sino-Tibetan', 'Tibeto-Burman', 'Lolo–Burmese', 'Burmish', 'Achang']",,acn,"(60,000 cited 1990–2007)[1]",,,
178,Basahan,,,,,,,
179,Argentine_Republic,,,,,,,
180,Cahuilla_language,"['Uto-Aztecan', 'Northern', 'Takic', '?', 'Cupan', 'Cahuilla–', 'Cupeño', 'Cahuilla']","['Desert', 'Mountain', 'Pass']",chl,6 (2011)[2],Southern California,,None
181,Northern_Territory,,,,,,,
182,French_Republic,,,,,,,
183,Asturias,,,,,,,
184,Latin,"['Indo-European', 'Italic', 'Latino-Faliscan', 'Latin']",,lat,,, Vatican City,
185,Meitei_language,"['Sino-Tibetan', 'Tibeto-Burman', 'Central Tibeto-Burman', 'Meitei']","['Standard Meitei, ', 'Chakpa', ' (also called ', 'Loi', ') and Meitei Pangal (Muslim dialect)', '[3]']",Either:mni – Manipuriomp – Old Manipuri,,Northeast India and Neighbouring areas of Bangladesh and Myanmar, India, India (Assam and Tripura)  Bangladesh  Myanmar
186,Gagauzia,,,,,,,
187,Statistical_regions_of_Serbia,,,,,,,
188,Ivatan_language,"['Austronesian', 'Malayo-Polynesian', 'Philippine', 'Batanic', 'Ivatan']","['Ivasay', 'Isamurung', 'Babuyan']",Either:ivv – Ivatanivb – Ibatan (Babuyan),"(33,000 cited 1996–2007)[1]",Batanes Islands,Regional language in the Philippines,
189,Federal_Democratic_Republic_of_Nepal,,,,,,,
190,Liberia,,,,,,,
191,Kulitan_alphabet,,,,,,,
192,Moldova,,,,,,,
193,S%27gaw_Karen_language,"['Sino-Tibetan', 'Tibeto-Burman', 'Karenic', 'S’gaw Karen language']",,ksw – inclusive codeIndividual codes:ksw – S'gawjkp – Pakujkm – Mopwawea – Wewaw,2.2 million (2010–2017)[1],"Kayin State, MyanmarThailandAndaman and Nicobar Islands, IndiaMalaysia", Myanmar( Kayin State), Thailand
194,Tzeltal_language,"['Mayan', 'Cholan–Tzeltalan', 'Tzeltalan', 'Tzeltal']",,tzh,"590,000 (2020 census)[1]",Chiapas,,
195,Interlingua,,,ina,,,,
196,Crimea,,,,,,,
197,Council_of_the_Haida_Nation,,,,,,,
198,Dhivehi_language,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Southern Zone', 'Insular Indo-Aryan', 'Sinhalese–Maldivian', 'Dhivehi']",,div,"500,000 (2022)[1]",, Maldives,
199,Luxembourgish,"['Indo-European', 'Germanic', 'West Germanic', 'High German', 'Central German', 'West Central German', 'Central Franconian', 'Moselle Franconian', 'Luxembourgish']",,ltz,"300,000 (2024)[1]",Western Europe,Luxembourg,Belgium (recognised by the French Community of Belgium)
200,Filipino_language,"['Austronesian', 'Malayo-Polynesian', 'Philippine', 'Greater Central Philippine', 'Central Philippine', 'Kasiguranin', '–', 'Tagalog', 'Tagalog', 'Filipino']",,fil,see Tagalog language,"All of the regions of the Philippines, especially in Metro Manila, the National Capital Region, and in other urban centers in the archipelago", Philippines, United States   Malaysia   United Arab Emirates
201,Deseret_alphabet,,,,,,,
202,Europe,,,,,,,
203,Kabardino-Balkaria,,,,,,,
204,Java,,,,,,,
205,Kachin_State,,,,,Northern,,
206,Balti_language,"['Sino-Tibetan', 'Tibeto-Burman', 'Tibeto-Kanauri', ' (?)', 'Bodish', 'Tibetic', 'Ladakhi–Balti', 'Balti']",,bft,"425,000 in Pakistan (2018) Total users in all countries: 438,800 (2018)[1]","Baltistan, Ladakh",,
207,Phoenician_language,"['Afro-Asiatic', 'Semitic', 'West Semitic', 'Central Semitic', 'Northwest Semitic', 'Canaanite', 'Phoenician']",,phn,,,,
208,Val_d%27Aran,,,,,Alt Pirineu i Aran,,
209,Southern_Quechua,"['Quechuan', '\nQuechua II', 'Quechua IIC', 'Southern Quechua']","['Ayacucho', 'Cusco', 'Puno', ' (Collao)', 'North Bolivian', 'South Bolivian', '\xa0\xa0\xa0\xa0', 'Santiagueño']",Variously:qwc – Classical Quechuaquy – Ayacucho Quechuaqxu – Arequipa-La Unión Quechuaquz – Cusco Quechuaqve – Eastern Apurímac Quechuaqxp – Puno Quechua (Collao)qul – North Bolivian Quechua (Apolo)quh – South Bolivian Quechuaqus – Santiagueño Quechua,(5 million cited 1987–2014)[1],"Countries of the Andean highlands of South America, minorities in neighboring countries and some parts of Asia and Europe","
List of countries where Southern Quechua is an official language
 Bolivia[2]
 Peru



List of countries where Southern Quechua is a regional language
 Argentina[3]



List of countries where Southern Quechua is a minority native language
 Chile

",
210,Republic_of_Singapore,,,,,,,
211,Acehnese_language,"['Austronesian', 'Malayo-Polynesian', 'Chamic', 'Acehnese']",,ace,2.8 million (2010 census)[1],"Aceh, Sumatra","Indonesia
Aceh (co-official with Indonesian)
",
212,Sasak_language,"['Austronesian', 'Malayo-Polynesian', 'Malayo-Sumbawan', '?', 'Bali–Sasak–Sumbawa', 'Sasak–', 'Sumbawa', 'Sasak']",,sas,2.7 million (2010)[1],Lombok,,"Indonesia
West Nusa Tenggara (Lombok)
"
213,Vanuatu,,,,,,,
214,France,,,,,,,
215,Corsican_language,"['Indo-European', 'Italic', 'Latino-Faliscan', 'Latin', 'Romance', 'Italo-Western', 'Italo-Dalmatian', 'Italo-Romance', 'Tuscan', 'Corsican']","['Northern Corsican', 'Southern Corsican', 'Gallurese', '[a]', 'Sassarese', '[a]', 'Central Corsican', 'Western Elban', 'Capraiese', 'Castellanese']",cos – Corsican,"150,000 in Corsica (2013)[1]",CorsicaSardinia (Maddalena archipelago),, France ( Corsica)
216,Aymara_people,,,,,,,
217,South_Korea,,,,,,,
218,City_of_Los_Angeles,,,,,Southern California,,
219,Inuit,,,,,,,
220,Faroe_Islands,,,,,,,
221,Eyak_language,"['Dené–Yeniseian', '?\n', 'Na-Dené', 'Athabaskan–Eyak', 'Eyak']",,eya,,"Cordova, Alaska", Alaska[1],
222,Karenni_language,"['Sino-Tibetan', 'Karen languages', 'Sgaw–Bghai', 'Karenni']",,Variously:eky – Eastern Kayahkyu – Western Kayahkvy – Yintalekxf – Manumanaw (Manu),"187,000 (2000–2007)[1]",,, Thailand Myanmar
223,Navajo_Nation,,,,,,,
224,Xinjiang,,,,,,,
225,Tajik_language,"['Indo-European', 'Indo-Iranian', 'Iranian', 'Western Iranian', 'Southwestern Iranian', 'Persian', 'Tajik']","['Madaklashti', 'Bukharian']",tgk,10.0 million for all countries (8.0 million in Tajikistan 2020)[1],Central Asia, Tajikistan, Uzbekistan Russia
226,Siddha%E1%B9%83_alphabet,,,,,,,
227,Inuinnaqtun,"['Eskaleut', 'Eskimo', 'Inuit', 'Inuvialuktun', 'Inuinnaqtun']",,"ikt  Inuinnaqtun, Western Canadian Inuktitut","1,310 (2016 census)[1]",,Nunavut[2]Northwest Territories[3],
228,Yuchi_language,['Language isolate'],,yuc,0[2] (2021)12 L2 speakers (2016)[1],East central Oklahoma,,
229,"Great_Rift_Valley,_Kenya",,,,,,,
230,Estonian_language,"['Uralic', 'Finno-Ugric', 'Finno-Permic', '?', 'Finno-Samic', '?', 'Finnic', 'Southern Finnic', 'Central Finnic?', 'Estonian']",,est – inclusive codeIndividual codes:ekk – Standard Estonianvro – Võro,1.2 million (2022)[1],,EstoniaEuropean Union,
231,Slavs,,,,,,,
232,Pakistan,,,,,,,
233,Federated_States_of_Micronesia,,,,,,,
234,Andaman_and_Nicobar_Islands,,,,,East India,,
235,Pyr%C3%A9n%C3%A9es-Orientales,,,,,Occitania,,
236,Assamese_language,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Eastern', 'Bengali–Assamese', 'Kamrupa', 'Assamese']","['Eastern, Central, ', 'Kamrupi', ', ', 'Goalpariya']",asm,15 million (2011 census)[1],"Assam, Arunachal Pradesh, Meghalaya and Nagaland"," India
Assam
",
237,Veracruz,,,,,,,
238,Republic_of_Artsakh,,,,,,,
239,West_Papua_(province),,,,,,,
240,Persian_language,"['Indo-European', 'Indo-Iranian', 'Iranian', 'Western Iranian', 'Southwestern Iranian', 'Persian']","['Iranian Persian', 'Dari', 'Tajik', 'Bukhori', 'Pahlavani', 'Hazaragi', 'Aimaq', 'Judeo-Persian', 'Dehwari', 'Judeo-Tat', '[8]', 'Caucasian Tat', '[8]', 'Armeno-Tat', '[8]', 'Madaklashti', 'Kuwaiti', 'Sistani']",fas – inclusive codeIndividual codes:pes – Iranian Persianprs – Daritgk – Tajik languageaiq – Aimaq dialectbhh – Bukhori dialecthaz – Hazaragi dialectjpr – Judeo-Persianphv – Pahlavanideh – Dehwarijdt – Judeo-Tatttt – Caucasian Tat,L1: 72 million (2017–2021)[7]L2: 38 million (2021–2022)[7]Total (L1+L2): 130 million[8],,"
Iran[9]
Afghanistan (as Dari)
Tajikistan (as Tajik)

Russia

Dagestan (as Tat)[10]
",
241,Saurashtra_language,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Western Indo-Aryan', 'Gujarati', 'Saurashtra']","['Northern Saurashtra', 'Southern Saurashtra']",saz,"247,702 (2011 census)[1]","Tamil Nadu, Andhra Pradesh, Karnataka",,
242,Nottoway_language,"['Iroquoian', '\nNorthern', 'Tuscarora–Nottoway', 'Nottoway']",,Either:ntw – Nottowaynwy – Nottoway-Meherrin,,Virginia,,
243,Kinyarwanda,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Volta-Congo', 'Benue–Congo', 'Bantoid', 'Southern Bantoid', 'Bantu', 'Northeast Bantu', 'Great Lakes Bantu', 'Rwanda-Rundi', 'Kinyarwanda']","['Bufumbwa', 'Ikinyabwishya', 'Igikiga', 'Ikinyamurenge', 'Ikirera', 'Urufumbira', 'Urutwatwa']",kin,15 million (2014–2022)[1],, Rwanda,
244,Ningde,,,,,,,
245,New_Ireland_Province,,,,,,,
246,Republic_of_Austria,,,,,,,
247,Iceland,,,,,,,
248,Tomsk_Oblast,,,,,,,
249,Peru,,,,,,,
250,Garre_language,"['Afro-Asiatic', 'Cushitic ', 'Lowland East', 'Somali', 'Garre']",,gex,"690,000 (2019–2020)[1]","Mandera, Bay, Lower Shabelle",,
251,Sanskrit,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Sanskrit']",,san – inclusive codeIndividual codes:cls – Classical Sanskritvsn – Vedic Sanskrit,,"South Asia (ancient and medieval), parts of Southeast Asia (medieval)","India (state-additional official)[b]
Himachal Pradesh
Uttarakhand
",South Africa[c]
252,Bangladesh,,,,,,,
253,Federal_Republic_of_Nigeria,,,,,,,
254,Grenadian_Creole_French,"['French Creole', 'Antillean Creole', 'Grenadian Creole']",,–,"2,300 (2004)[1]",, Grenada,
255,Putian,,,,,,,
256,Shanghaiese,"['Sino-Tibetan', 'Sinitic', 'Chinese', 'Wu', 'Taihu/Northern', 'Su–Hu–Jia / Shanghai', 'Shanghainese']",,–,14 million[citation needed] (2013),Shanghainese proper traditionally in the urban center of Shanghai; Bendihua varieties spoken throughout Shanghai and parts of nearby Nantong,,
257,Bussa_language,"['Afro-Asiatic', 'Cushitic', 'Lowland East', 'Oromoid', 'Konsoid', 'Bussa']",,dox  (part),"18,000 (2007 census)[1]","Dirashe special woreda, Southern Ethiopia",,
258,Limburgish,"['Indo-European', 'Germanic', 'West Germanic', 'Istvaeonic', 'Low Franconian', 'Limburgish']",,lim,1.3 million in Netherlands and Belgium[citation needed] (2001)[1]unknown number in Germany,Limburg (Netherlands) Limburg (Belgium),,"Netherlands
– Statutory provincial language in Limburg Province (1996, Ratification Act, ECRML, No. 136), effective 1997.[2]"
259,Republic_of_Mordovia,,,,,,,
260,Malawi,,,,,,,
261,Suriname,,,,,,,
262,Slovakia,,,,,,,
263,Benin,,,,,,,
264,North_Korea,,,,,,,
265,Panama,,,,,,,
266,Los_Angeles,,,,,Southern California,,
267,Yanesha%27_language,"['Arawakan', '\nSouthern', 'Western\xa0?', 'Amuesha']",,ame,"9,800 (2000)[1]",Department of Pasco,,
268,Molise,,,,,,,
269,Yiddish,"['Indo-European', 'Germanic', 'West Germanic', 'High German', 'Yiddish']","['Eastern Yiddish', 'Western Yiddish']",yid – inclusive codeIndividual codes:ydd – Eastern Yiddishyih – Western Yiddish,"≤600,000 (2021)[2]","Europe, Israel, North America, South America, other regions with Jewish populations[1]","
Russia (Jewish Autonomous Oblast)[6]
","
Bosnia and Herzegovina
Israel
Netherlands
Poland
Romania
Sweden
Ukraine[7]
Russia[6]
Belarus[citation needed]
"
270,Chhattisgarhi,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Central Zone', 'Eastern Hindi', 'Chhattisgarhi']",['Surgujia'],Either:hne – Chhattisgarhisgj – Surgujia,"18 million, partial count, including Surgujia (2011 census)[1](additional speakers counted under Hindi)",Chhattisgarh and a minority of speakers in Odisha and Maharashtra,"India
Chhattisgarh (additional)[2]
",
271,Veneto,,,,,,,
272,Harari_language,"['Afro-Asiatic', 'Semitic', 'West Semitic', 'South Semitic', 'Ethiopic', 'South', 'Transversal South', 'Harari–East Gurage', 'Harari']",,har,"27,000 (2007 census)[2][3][4]",Harari Region,,
273,Classical_Chinese_language,"['Sino-Tibetan', 'Sinitic', 'Chinese', 'Classical Chinese']",,lzh,,"China, Japan, Ryukyu Islands, Korea and Vietnam",,
274,Gujarat,,,,,West India,,
275,Districts_of_Germany,,,,,,,
276,Sicilian_language,"['Indo-European', 'Italic', 'Latino-Faliscan', 'Latin', 'Romance', 'Italo-Western', 'Italo-Dalmatian', 'Italo-Romance', 'Extreme Southern Italian', 'Sicilian']","['Pantesco', 'Western', 'Eastern', 'Central Metaphonetic', 'Southeast Metaphonetic', 'Ennese', 'Eastern Non-Metaphonetic', 'Messinese', 'Eoliano', 'Reggino']",scn,4.7 million (2002)[1],Sicily,,Sicily (limited recognition)[2]
277,Tatar_language,"['Turkic', 'Common Turkic', 'Kipchak', 'Kipchak–Bulgar', 'Tatar']","['Mishar Tatar', 'Nagaibak']",tat,5.2 million (2010 census)[1](may include some L2 speakers),Volga region,Tatarstan (Russia),"China[2]
Poland[3]"
278,Khakassia,,,,,,,
279,Iranian_Plateau,,,,,,,
280,Andalusian_Arabic,"['Afro-Asiatic', 'Semitic', 'Central Semitic', 'Arabic', 'Maghrebi Arabic', 'Andalusi Arabic']",,xaa,,,,
281,Turkey,,,,,,,
282,Seroa_dialect,"['Tuu', '\nǃKwi', 'Eastern', 'Seroa']",,kqu,,South Africa,,
283,Berta_language,"['Nilo-Saharan', '?\n', 'Berta languages', 'Berta']","['Shuru', 'Bake', 'Undu', 'Mayu', 'Fadashi', 'Dabuso', 'Beleje Gonfoye']",wti  (all Berta languages),"380,000 all Berta languages (2006–2007)[1]100,000 monolinguals in Ethiopia[1]",Benishangul-Gumuz,,
284,South_America,,,,,,,
285,United_Arab_Emirates,,,,,,,
286,Ecuador,,,,,,,
287,Warlpiri_language,"['Pama–Nyungan', 'Ngumpin–Yapa', 'Ngarrkic', 'Warlpiri']","['Warlpiri', 'Ngaliya', 'Walmala', 'Ngardilpa', 'Eastern Warlpiri']",wbp,"2,624 (2021 census)[1]","Northern Territory, Australia",,
288,Carian_alphabets,,,,,,,
289,Arunachal_Pradesh,,,,,,,
290,El_Salvador,,,,,,,
291,Ili_Turki,"['Turkic', 'Common Turkic', 'Karluk', 'Ili Turki']",,ili,30 families in China (2007); moribund in Kazakhstan[1],,,
292,Sinhala_language,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Southern Zone', 'Insular Indo-Aryan', 'Sinhalese–Maldivian', 'Sinhala']","['Vedda', ' (perhaps a ', 'Creole language', ')']",sin,L1: 16 million (2021)[1]L2: 2.0 million  (1997)[1],, Sri Lanka,
293,South_Tyrol,,,,,Trentino-Alto Adige/Südtirol,,
294,Pangasinan,,,,,Ilocos Region,,
295,Algerian_Saharan_Arabic,"['Afro-Asiatic', 'Semitic', 'West Semitic', 'Central Semitic', 'Arabic', 'Maghrebi Arabic', 'Algerian Saharan Arabic']",,aao,"310,000 (2022)[1]","Atlas Mountains, southern Sahara",,
296,Ancient_Greek,"['Indo-European', 'Hellenic', 'Ancient Greek']",,grc  (includes all pre-modern stages),,eastern Mediterranean,,
297,Sri_Lanka,,,,,,,
298,Extremadura,,,,,,,
299,Azerbaijani_language,"['Turkic', 'Common Turkic', 'Oghuz', 'Western Oghuz', 'Azerbaijani']","['Afshar', 'Sonqori', 'Yerevan', 'various others']",aze – inclusive codeIndividual codes:azj – North Azerbaijaniazb – South Azerbaijani,24 million (2022)[2],"Iranian Azerbaijan, South Caucasus",AzerbaijanDagestan (Russia)Organization of Turkic States,
300,Castile_and_Le%C3%B3n,,,,,,,
301,Puntarenas_Province,,,,,,,
302,Bengali_language,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Eastern', 'Bengali–Assamese', 'Bengali']","['See ', 'Bengali dialects']",ben,L1: 240 million (2011–2021)[1][2]L2: 41 million (2011–2021)[1]  Total: 280 million[3],"Bengal, Tripura, Barak Valley, parts of Jharkhand"," Bangladesh (national, official)
 India (8th Schedule, state official)

West Bengal
Tripura
Assam (Barak Valley)
Jharkhand (additional official)[5]
",
303,Republic_of_Trinidad_and_Tobago,,,,,,,
304,Pentecost_Island,,,,,,,
305,Dutch_language,"['Indo-European', 'Germanic', 'West Germanic', 'Weser–Rhine Germanic', 'Low Franconian', ' (', 'Frankish', ')', 'Dutch']","['Central', 'Flemish', 'Stadsfries', 'West Frisian Dutch']",nld  Dutch/Flemish,25 million (2021)[1]Total (L1 plus L2 speakers): 30 million (2021)[2][3],,"
 Belgium
 Netherlands
 Aruba
 Bonaire
 Curaçao
 Sint Eustatius
 Sint Maarten
 Saba
 Suriname


Organisations
 Benelux
 Caribbean Community
 European Union
PROSUR
 Union of South American Nations

",
306,Lakota_people,,,,,,,
307,Quanzhou,,,,,China,,
308,M%C4%81ori_language,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Polynesian', 'Eastern Polynesian', 'Tahitic', 'Māori–', 'Moriori', '[', 'dubious', ' ', ' – ', 'discuss', ']', 'Māori']",,mri,"Some 50,000 people report that they speak the language well or very well (2015)[1]186,000 self-report some knowledge of the language. (2018)[2]",Polynesia,New Zealand,
309,Isthmus_Nahuatl,"['Uto-Aztecan', 'Aztecan (Nahuan)', 'Nahuatl', 'Eastern Peripheral Nahuatl', 'Isthmus Nahuatl']",,Variously:nhk – Cosoleacaquenhx – Mecayapannhp – Pajapan,"(39,000 cited 1990–2000)[1]","Veracruz, Tabasco",,
310,Morocco,,,,,,,
311,Monaco,,,,,,,
312,Chuvash_Republic,,,,,,,
313,Zyphe_Chin,"['Sino-Tibetan', '\n(', 'Tibeto-Burman', ')', 'Kuki-Chin', 'Maraic', 'Zyphe']",,zyp,"(20,000 cited 1994–2000)[1]","Myanmar, India",,
314,United_Kingdom,,,,,,,
315,Germany,,,,,,,
316,Odia_language,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Eastern', 'Odia–', 'Bengali–Assamese', '[3]', 'Odia']","['Northern', ', Central, ', 'Southern', ', ', 'Northwestern', ', ', 'Western', ', ', 'Desia', ', Tribal and Community dialects']",ori – inclusive codeIndividual codes:ory – Odiaspv – Sambalpuriort – Adivasi Odia (Kotia)dso – Desiya (duplicate of [ort])[8],L1: 35 million (2011–2019)[1][2]L2: 3.6 million[1],Odisha[a]," India
Odisha
Jharkhand[4] (additional)
West Bengal[5][6] (additional)
",
317,Dakota_language,"['Siouan', 'Western Siouan', 'Mississippi Valley Siouan', 'Dakotan', 'Sioux', 'Dakota']",,dak,290 (2016)[1],"Primarily North Dakota and South Dakota, but also northern Nebraska, southern Minnesota; Northern Montana; southern Manitoba, southern Saskatchewan",,
318,Bambara_language,"['Niger-Congo', '?\n', 'Mande', 'Western', 'Manding', 'East', 'Bambara–Dyula', 'Bambara']",,bam,L1:  4.2 million (2012)[1]L2: 10 million (2012)[1],central southern Mali,Mali (co-official),
319,Russian_language,"['Indo-European', 'Balto-Slavic', 'Slavic', 'East Slavic', 'Russian']",,rus,L1: 150 million (2020 census)[1]L2: 110 million (2020 census)[1],,"
5 UN member states

 Russia (state)[2]
 Belarus (co-official)[3]
 Kazakhstan (co-official)[4]
 Kyrgyzstan (co-official)[5]
 Tajikistan (as inter-ethnic language designated by the constitution)[6]



As inter-ethnic language but with no official status, or as official on regional level

 Uzbekistan[b] (as inter-ethnic language despite having no de jure status)[7][8][9]
 Moldova:
 Gagauzia (co-official)[10]
Left Bank of the Dniester (co-official)
 Ukraine:
 Autonomous Republic of Crimea[c]


Partially recognized states

 Abkhazia[d] (co-official)[11]
 South Ossetia[d] (co-official)[12]
 Transnistria (state)[13]


Organizations

 United Nations:
IAEA
ICAO
UNESCO
WHO
CIS
EAEU
CSTO
SCO
OSCE
ATS
ISO
","
List

 Romania[14]
 Armenia[15]
 Czech Republic[16]
 Slovakia[15]
 Moldova[17]
 Ukraine[18]
 China[19][20]

"
320,Chukotka_Autonomous_Okrug,,,,,,,
321,Cornwall,,,,,South West England,,
322,La_Libertad_Department_(El_Salvador),,,,,,,
